Course Session,Course,Professor,Bulletin,First Year Cirriculum,Credit-Hours,Term,Description,Year Begin,Year End,Course Category
Elementary Law (1899-1900),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,Jackson Eli Reynolds,Charles Ross Lewers",1899-1900,checked,3,Full Year,,1899,1900,Introduction to Law
Contracts (1899-1900),Contracts,Clarke Butler Whittier,1899-1900,checked,3,Full Year,,1899,1900,"Contracts, Torts & Remedies"
Criminal Law (1899-1900),Criminal Law,Charles Ross Lewers,1899-1900,checked,3,Full Year,,1899,1900,Criminal Law & Procedure
Torts (1899-1900),Torts,Clarke Butler Whittier,1899-1900,checked,3,Full Year,,1899,1900,"Contracts, Torts & Remedies"
Agency (1899-1900),Agency,Jackson Eli Reynolds,1899-1900,,2,Full Year,,1899,1900,Agency
Sales (1899-1900),Sales,,1899-1900,,2,Full Year,,1899,1900,Consumer & Commercial Law
Carriers (1899-1900),Carriers,,1899-1900,,2,Full Year,,1899,1900,Administrative Law & Regulation
Trusts (1899-1900),Trusts,Charles Ross Lewers,1899-1900,,3,Full Year,,1899,1900,Trusts & Estates
Evidence (1899-1900),Evidence,Clarke Butler Whittier,1899-1900,,2,Full Year,,1899,1900,Evidence
Damages (1899-1900),Damages,,1899-1900,,2,Full Year,,1899,1900,"Contracts, Torts & Remedies"
Corporations (1899-1900),Corporations,Jackson Eli Reynolds,1899-1900,,3,Full Year,,1899,1900,Corporate Law
Partnership (1899-1900),Partnership,,1899-1900,,2,Full Year,,1899,1900,Corporate Law
Elementary Law (1900-1901),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,James Parker Hall,Jackson Eli Reynolds,Charles Ross Lewers",1900-1901,checked,3,Full Year,,1900,1901,Introduction to Law
Contracts (1900-1901),Contracts,Clarke Butler Whittier,1900-1901,checked,3,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Criminal Law (1900-1901),Criminal Law,Charles Ross Lewers,1900-1901,checked,3,Full Year,,1900,1901,Criminal Law & Procedure
Property I (1900-1901),Property I,Nathan Abbott,1900-1901,checked,3,Full Year,,1900,1901,Property
Torts (1900-1901),Torts,Clarke Butler Whittier,1900-1901,checked,3,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Equity I (1900-1901),Equity I,Jackson Eli Reynolds,1900-1901,checked,2,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Agency (1900-1901),Agency,Jackson Eli Reynolds,1900-1901,,3,Full Year,,1900,1901,Agency
Property II (1900-1901),Property II,Nathan Abbott,1900-1901,,3,Full Year,,1900,1901,Property
Sales (1900-1901),Sales,James Parker Hall,1900-1901,,3,Full Year,,1900,1901,Consumer & Commercial Law
Carriers (1900-1901),Carriers,Charles Ross Lewers,1900-1901,,3,Full Year,,1900,1901,Administrative Law & Regulation
Damages (1900-1901),Damages,Charles Ross Lewers,1900-1901,,3,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Bills and Notes (1900-1901),Bills and Notes,James Parker Hall,1900-1901,,3,Full Year,,1900,1901,Consumer & Commercial Law
Trusts (1900-1901),Trusts,Charles Ross Lewers,1900-1901,,3,Full Year,,1900,1901,Trusts & Estates
Persons (1900-1901),Persons,Nathan Abbott,1900-1901,,2,Full Year,,1900,1901,Family Law
Common Law Pleading (1900-1901),Common Law Pleading,Clarke Butler Whittier,1900-1901,,3,Full Year,,1900,1901,Pleading
Evidence (1900-1901),Evidence,Clarke Butler Whittier,1900-1901,,3,Full Year,,1900,1901,Evidence
Corporations (1900-1901),Corporations,Jackson Eli Reynolds,1900-1901,,3,Full Year,,1900,1901,Corporate Law
Constitutional Law (1900-1901),Constitutional Law,James Parker Hall,1900-1901,,3,Full Year,,1900,1901,Constitutional Law
California Practice (1900-1901),California Practice,Joseph Hutchinson,1900-1901,,1,Full Year,,1900,1901,"Professional Skills, Practice & Ethics"
Mines and Irrigation (1900-1901),Mines and Irrigation,Hon. Curtis H. Lindley,1900-1901,,1,Full Year,,1900,1901,"Environmental, Natural Resources, Land Use & Water Law"
Roman Law (1900-1901),Roman Law,Henry Rushton Fairclough,1900-1901,,2,Spring,,1900,1901,Legal History
International Law (1900-1901),International Law,Clyde Augustus Duniway,1900-1901,,2,Full Year,,1900,1901,International & Comparative Law
Elementary Law (1901-1902),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,James Parker Hall,Jackson Eli Reynolds,Charles Ross Lewers",1901-1902,checked,2,Full Year,"Lectures. No text-book. The aims of this course are: first, to give the students of the department such an introduction to the law as will enable them to pursue their further work to the best advantage; secondly, to give to students of other departments a few general conceptions which may prove of value to them in other work, in business, or elsewhere. Not open to first-year students. Three lecture hours weekly.

2 hrs., both semesters.",1901,1902,Introduction to Law
Contracts (1901-1902),Contracts,Clarke Butler Whittier,1901-1902,checked,3,Full Year,"Text-book: Keener's Cases on Contracts.

3 hrs., both semesters.",1901,1902,"Contracts, Torts & Remedies"
Property I (1901-1902),Property I,Nathan Abbott,1901-1902,checked,3,Full Year,"Text-book: Gray's Cases on Property, Vols. I and II. This course includes Personal Property, an introduction to the Law of Real Property, a discussion of the nature and incidents of its ownership, and a consideration of rights in another's land.

3 hrs., both semesters.",1901,1902,Property
Torts (1901-1902),Torts,Clarke Butler Whittier,1901-1902,checked,3,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1901-1902),Criminal Law and Procedure,Charles Ross Lewers,1901-1902,checked,3,Full Year,,1901,1902,Criminal Law & Procedure
Equity I (1901-1902),Equity I,Jackson Eli Reynolds,1901-1902,checked,2,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Agency (1901-1902),Agency,Jackson Eli Reynolds,1901-1902,,3,Full Year,,1901,1902,Agency
Bills and Notes (1901-1902),Bills and Notes,James Parker Hall,1901-1902,,3,Full Year,,1901,1902,Consumer & Commercial Law
Carriers (1901-1902),Carriers,Charles Ross Lewers,1901-1902,,2,Full Year,,1901,1902,Administrative Law & Regulation
Damages (1901-1902),Damages,Charles Ross Lewers,1901-1902,,2,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Equity II: Trusts (1901-1902),Equity II: Trusts,Charles Ross Lewers,1901-1902,,2,Full Year,,1901,1902,Trusts & Estates
Pleading (1901-1902),Pleading,Clarke Butler Whittier,1901-1902,,3,Full Year,,1901,1902,Pleading
Property II (1901-1902),Property II,Nathan Abbott,1901-1902,,3,Full Year,,1901,1902,Property
Constitutional Law (1901-1902),Constitutional Law,James Parker Hall,1901-1902,,3,Full Year,,1901,1902,Constitutional Law
Equity III (1901-1902),Equity III,Jackson Eli Reynolds,1901-1902,,3,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Partnership (1901-1902),Partnership,James Parker Hall,1901-1902,,2,Full Year,,1901,1902,Corporate Law
Property III (1901-1902),Property III,Nathan Abbott,1901-1902,,3,Full Year,,1901,1902,Property
California Practice (1901-1902),California Practice,Joseph Hutchinson,1901-1902,,1,Full Year,,1901,1902,"Professional Skills, Practice & Ethics"
Mines and Irrigation (1901-1902),Mines and Irrigation,Hon. Curtis H. Lindley,1901-1902,,1,Full Year,,1901,1902,"Environmental, Natural Resources, Land Use & Water Law"
International Law (1901-1902),International Law,Clyde Augustus Duniway,1901-1902,,2,Full Year,,1901,1902,International & Comparative Law
"""International Law, with special reference to the Fur Seal question"" (1901-1902)","""International Law, with special reference to the Fur Seal question""",Hon. Charles Sumner Hamlin,1901-1902,,,Spring,,1901,1902,International & Comparative Law
Roman Law and Institutions (1901-1902),Roman Law and Institutions,"Pease,Henry Rushton Fairclough",1901-1902,,1-2,Spring,Text-book: Institutes of Gaius.,1901,1902,Legal History
Elementary Law (1902-1903),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,James Parker Hall,Charles Ross Lewers,James Taylor Burcham",1902-1903,,,,,1902,1903,Introduction to Law
Contracts (1902-1903),Contracts,George L. Clark,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1902-1903),Criminal Law and Procedure,Charles Ross Lewers,1902-1903,,,,,1902,1903,Criminal Law & Procedure
Torts (1902-1903),Torts,George L. Clark,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Equity I (1902-1903),Equity I,James Taylor Burcham,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Agency (1902-1903),Agency,James Taylor Burcham,1902-1903,,,,,1902,1903,Agency
Bills and Notes (1902-1903),Bills and Notes,John E. Blair,1902-1903,,,,,1902,1903,Consumer & Commercial Law
Carriers (1902-1903),Carriers,Charles Ross Lewers,1902-1903,,,,,1902,1903,Administrative Law & Regulation
Damages (1902-1903),Damages,Charles Ross Lewers,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Equity II: Trusts (1902-1903),Equity II: Trusts,Charles Ross Lewers,1902-1903,,,,,1902,1903,Trusts & Estates
Evidence (1902-1903),Evidence,John E. Blair,1902-1903,,,,,1902,1903,Evidence
Persons (1902-1903),Persons,Nathan Abbott,1902-1903,,,,,1902,1903,Family Law
